Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Contenu pedago (product.metafields.custom.contenu_pedago),description (product.metafields.custom.description),Extrait (product.metafields.custom.extrait),Lien achat (product.metafields.custom.lien_achat),Niveau scolaire (product.metafields.custom.niveau),Produit (product.metafields.custom.produit),region (product.metafields.custom.region),Série (product.metafields.custom.s_rie),Tranche d'âge (product.metafields.custom.tranches_d_ge),Genre (product.metafields.shopify.genre),Audience cible (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
le-bunker-de-la-peur-copie,Le fantôme du fleuve,"<div class=""_1Q9if _3bcaz"" id=""comp-ksqkyxib"">
<h4 class=""font_2"">Collection Panik | Dès 9 ans<br>
</h4>
</div>
<div class=""_1Q9if _3bcaz"" id=""comp-ksqkyxie"">
<p class=""font_8""><meta charset=""UTF-8""><span>Au camp musical où il passe la semaine, Matt remarque bientôt d’étranges phénomènes. Des notes bougent sur une partition, et une mélodie venue de nulle part résonne dans l’école de musique. Certains élèves murmurent qu’un fantôme hanterait les lieux… et les ruines du terrain voisin. Avec ses amis, Matt veut percer le mystère. Qui est cet esprit? Que cherche-t-il? Et que cache vraiment la légende entourant la famille qui vivait autrefois dans la maison de pierres?</span><br></p>
</div>",Éditions Auzou,Non classé,"","9 ans, LivreCaro",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/Couv2D.jpg?v=1785422124,1,"",false,,,,,,https://www.leslibraires.ca/livres/le-fantome-du-fleuve-9782898248030,,,,,9-12 ans,,,,kg,,,active
les-secrets-de-lanse-trois-saumons,Les secrets de l'anse Trois-Saumons,"<div data-testid=""richTextElement"" class=""_1Q9if _3bcaz"" id=""comp-ksqkyxib""></div>
<div data-testid=""richTextElement"" class=""_1Q9if _3bcaz"" id=""comp-ksqkyxie"">
<p>Entre ces murs, le passé ne dort jamais…</p>
<p>Alyson et Jake passent l’été à Saint-Jean-Port-Joli, dans une ancienne auberge louée par leurs parents comédiens. On raconte qu’un meurtre y a été commis. Alyson sent une présence malveillante. Jake est sceptique même si les événements étranges se multiplient. Ensemble, ils devront percer les secrets de cette entité inquiétante, mais surtout, trouver le moyen de la faire partir avant qu’il ne soit trop tard…</p>
</div>",Hugo roman,Non classé,"","LivreCaro, livreLora",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/Lessecretsdel_anseTrois-Saumons-couv.png?v=1775848688,1,"",false,,,,,,https://www.leslibraires.ca/livres/les-secrets-de-l-anse-trois-saumons-9782925562191?srsltid=AfmBOorUTpTwC9BaboLVAN2gf0AjOQPbzbagSpXliiEgEGJxQCfYI-eQ,,,,,9-12 ans,,,,kg,,,active
lea-la-licorne-apprend-a-voler,Léa la licorne apprend à voler,"<h4 class=""font_8""><span>Collection Mes grands albums | Dès 3 ans</span></h4>
<p><meta charset=""UTF-8""><span><meta charset=""UTF-8"">Léa est être la seule licorne de la forêt à ne pas savoir encore voler ! Elle veut absolument apprendre. Mais ce n’est pas si facile que ça… La petite licorne des tropiques trouvera-t-elle quelqu’un pour lui donner des leçons de vol ? Réussira-t-elle à se servir de ses ailes ? Et surtout, sera-t-elle capable de suivre ses amis dans le ciel ?</span></p>
<ul></ul>",Auzou,Non classé,"","fée, LivreCaro",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/Couv.png?v=1775848621,1,"",false,,,,,,https://www.leslibraires.ca/livres/lea-la-licorne-apprend-a-voler-9782898247873?srsltid=AfmBOor9_d-2a3cjh-Vhieem3NG34RJ_s646AL-6_9KKA5Yqy63eUVld,,,,,0-5 ans,,,,kg,,,active
aventuriers-des-mers-un-livre-anime,"Aventuriers des mers, un livre animé!","<p class=""cvGsUA direction-ltr align-justify para-style-body""><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Les élèves auront la chance de plonger dans une expérience immersive unique, alliant lecture et technologie. En leur lisant mon roman Aventuriers des mers, je leur ferai découvrir un récit enrichi de réalité augmentée, de visuels à 360 degrés, d’animations 3D et d’enregistrements sonores. En balayant chaque illustration avec un iPad, je ferai apparaître des animations captivantes sur le tableau interactif de la classe. Les élèves feront ainsi la connaissance de William et Kimora et devront résoudre différentes énigmes tout au long de l’aventure. Une invitation à vivre l’histoire de manière active et engageante, comme s’ils y étaient.</span></p>
<p class=""cvGsUA direction-ltr align-justify para-style-body""> </p>
<p class=""cvGsUA direction-ltr align-justify para-style-body""><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Durée: Une période</span></p>",Les éditions AppLit,Non classé,"","anim2, anim3, Animation",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/Frame101.jpg?v=1759178804,1,"",false,,,,"<p>Les élèves auront la chance de plonger dans une expérience immersive unique, alliant lecture et technologie. En leur lisant mon roman Aventuriers des mers, je leur ferai découvrir un récit enrichi de réalité augmentée, de visuels à 360 degrés, d’animations 3D et d’enregistrements sonores. En balayant chaque illustration avec un iPad, je ferai apparaître des animations captivantes sur le tableau interactif de la classe. Les élèves feront ainsi la connaissance de William et Kimora et devront résoudre différentes énigmes tout au long de l’aventure. Une invitation à vivre l’histoire de manière active et engageante, comme s’ils y étaient.</p>

Durée: Une période",,,Deuxième cycle,,"Montréal
Québec
Chaudières-Appalaches",,,,,,kg,,,active
dune-aventure-a-lautre,D'une aventure à l'autre,"<p class=""cvGsUA direction-ltr align-justify para-style-body""><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Cette animation me permet de présenter mon processus d’écriture, les étapes de l’édition, mes sources d’inspiration, ainsi que l’intrigue des romans et séries illustrés ci-dessous. Pour le roman Le détenu de Trois-Rivières, je présenterai également le matériel pédagogique qui l’accompagne : un jeu d’évasion conçu à partir du premier chapitre, où le lecteur est coincé dans l’histoire et doit résoudre des énigmes pour en sortir. Les élèves ne participeront pas au jeu, mais pourront en découvrir le concept et les coulisses de sa création. Je prendrai également le temps de répondre avec plaisir à leurs questions.</span><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none white-space-prewrap""> </span></p>
<p class=""cvGsUA direction-ltr align-justify para-style-body""><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Durée: Une période</span></p>",Les éditions AppLit,Non classé,"","anim3, Animation",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/Frame100.jpg?v=1759178639,1,"",false,,,,"<p>Cette animation me permet de présenter mon processus d’écriture, les étapes de l’édition, mes sources d’inspiration, ainsi que l’intrigue des romans et séries illustrés ci-dessous. Pour le roman Le détenu de Trois-Rivières, je présenterai également le matériel pédagogique qui l’accompagne : un jeu d’évasion conçu à partir du premier chapitre, où le lecteur est coincé dans l’histoire et doit résoudre des énigmes pour en sortir. Les élèves ne participeront pas au jeu, mais pourront en découvrir le concept et les coulisses de sa création. Je prendrai également le temps de répondre avec plaisir à leurs questions. </p>

Durée: Une période",,,Deuxième cycle,,"Québec
Chaudières-Appalaches",,,,,,kg,,,active
romance-nuit-dete-et-creme-glacee,"Romance, nuit d'été et crème glacée","<p>Depuis son enfance, Charlotte passe ses étés au camping avec son meilleur ami Gabriel. Cette année, ils ont décroché leurs tout premiers emplois, elle à la crèmerie et lui en tant que sauveteur.</p>
<p>Nouvelles rencontres, amour et amitié seront au rendez-vous pour cette saison qui s'annonce mémorable! </p>",Éditions Auzou,Médias > Livres > Livres imprimés,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/Romance.jpg?v=1747246958,1,"",false,,,,,,https://www.leslibraires.ca/livres/romance-nuit-d-ete-et-creme-lora-boisvert-9782898246715.html?srsltid=AfmBOorXCOn_Y_9FeastekIMa2PH8mjLIvLjPFd-iX_W7YP4gObTyRV4,,,,,,romance,ados-et-jeunes-adultes,,kg,,,active
lea-la-licorne-se-fait-des-amis,Léa la licorne se fait des amis,"<h4 class=""font_8""><span>Collection Mes grands albums | Dès 3 ans</span></h4>
<p><meta charset=""UTF-8""><span>Léa, la petite licorne des tropiques, vient d’emménager dans sa nouvelle maison avec sa maman. Elle s’ennuie déjà de ses grands-parents, mais elle ne tarde pas à faire la connaissance de jeunes licornes des bois. Ses nouveaux amis l’invitent à jouer avec eux. Cependant, leur magie est très différente de la sienne. Léa arrivera-t-elle à faire sa place parmi eux?</span><br></p>
<ul></ul>",Auzou,Non classé,"","fée, LivreCaro",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/Captured_ecran_le2024-10-22a14.19.11.png?v=1743536196,1,"",false,,,,,,https://www.leslibraires.ca/livres/lea-la-licorne-se-fait-des-carolyn-chouinard-9782898246241.html,,,,,0-5 ans,,,,kg,,,active
les-jeux-du-quebec,Les Jeux du Québec,"<div data-testid=""richTextElement"" class=""_1Q9if _3bcaz"" id=""comp-ksqkyxib"">
<h4 class=""font_2""><span>Reine de la glace Tome 5  | Dès 8 ans</span></h4>
<p><meta charset=""UTF-8""><span>Coucou, c’est Mila! J’ai réussi à obtenir une place pour les Jeux du Québec. Je passerai la semaine de relâche en compagnie des meilleurs athlètes de ma province. Activités, amitié et compétition seront au rendez-vous! J’ai hâte de découvrir ce que ce séjour me réserve. Je sens qu’il y aura plein de rebondissements!</span></p>
<p> </p>
</div>",Auzou,Non classé,"","8 ans, livreLora, patin",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/tome5Reine.png?v=1736005346,1,"",false,,,,,,https://www.leslibraires.ca/livres/les-jeux-du-quebec-lora-boisvert-9782898246067.html?srsltid=AfmBOor7oAlsLPCFogjwyVnSrrwXalyoc8gsl3IInG0Y86quwmvQRW2D,,,,,6-8 ans,,,,kg,,,active
la-fee-des-dents-adore-lhalloween,La fée des dents adore l'halloween !,"<h4 class=""font_8"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Collection Mes grands albums | Dès 3 ans</span></h4>
<p><meta charset=""UTF-8""><span>C’est l’Halloween, la fête préférée de la fée des dents et de son assistant Parmesan. Leur mission : se rendre à Citrouilleville pour récupérer la dent de Ludovic. Mais le jeune garçon n’est pas à la maison… Comment faire pour le retrouver parmi tous les enfants déguisés?</span></p>
<ul></ul>",Auzou,Non classé,"","fée, LivreCaro",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/fee4.jpg?v=1725642106,1,"",false,,,,,,https://www.leslibraires.ca/livres/la-fee-des-dents-adore-l-carolyn-chouinard-9782898245527.html,,,,,0-5 ans,,,,kg,,,active
le-bunker-de-la-peur,Le bunker de la peur,"<div data-testid=""richTextElement"" class=""_1Q9if _3bcaz"" id=""comp-ksqkyxib"" data-mce-fragment=""1"">
<h4 class=""font_2"" data-mce-fragment=""1"">Collection Panik | Dès 9 ans<br>
</h4>
</div>
<div data-testid=""richTextElement"" class=""_1Q9if _3bcaz"" id=""comp-ksqkyxie"" data-mce-fragment=""1"">
<p class=""font_8"" data-mce-fragment=""1""><meta charset=""UTF-8""><span>Éliot passe tous ses étés au Club du Radar, un centre de villégiature qui a été construit sur une ancienne base militaire. Sa vie bascule lorsqu’il apprend qu’un promoteur s’apprête à démolir tous les chalets et à raser la forêt pour les remplacer par une station de ski. Ses amis et lui doivent vite se réunir dans leur repaire pour trouver une solution. Mais des phénomènes étranges se produisent de plus en plus souvent dans l’ancienne tour de contrôle. L'endroit serait-il hanté ? De multiples dangers guettent le groupe d’amis, engagés dans une quête passionnante...</span>     </p>
</div>",Éditions Auzou,Non classé,"","9 ans, LivreCaro",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1000.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0655/5962/5944/files/PanikBunker.jpg?v=1723227148,1,"",false,,,,,,https://www.leslibraires.ca/livres/le-bunker-de-la-peur-carolyn-chouinard-9782898245220.html,,,,,9-12 ans,,,,kg,,,active
